,age,fnlwgt,capital-gain,capital-loss,hours-per-week
0,39,77516,2174,0,40
1,50,83311,0,0,13
2,38,215646,0,0,40
3,53,234721,0,0,40
4,28,338409,0,0,40
5,37,284582,0,0,40
6,49,160187,0,0,16
7,52,209642,0,0,45
8,31,45781,14084,0,50
9,42,159449,5178,0,40
10,30,141297,0,0,40
11,23,122272,0,0,30
12,32,205019,0,0,50
13,40,121772,0,0,40
14,34,245487,0,0,45
15,25,176756,0,0,35
16,32,186824,0,0,40
17,38,28887,0,0,50
18,43,292175,0,0,45
19,40,193524,0,0,60
20,35,76845,0,0,40
21,59,109015,0,0,40
22,56,216851,0,0,40
23,54,180211,0,0,60
24,39,367260,0,0,80
25,49,193366,0,0,40
26,23,190709,0,0,52
27,20,266015,0,0,44
28,45,386940,0,1408,40
29,30,59951,0,0,40
30,22,311512,0,0,15
31,48,242406,0,0,40
32,21,197200,0,0,40
33,19,544091,0,0,25
34,31,84154,0,0,38
35,48,265477,0,0,40
36,31,507875,0,0,43
37,53,88506,0,0,40
38,24,172987,0,0,50
39,49,94638,0,0,40
40,25,289980,0,0,35
41,57,337895,0,0,40
42,53,144361,0,0,38
43,44,128354,0,0,40
44,41,101603,0,0,40
45,29,271466,0,0,43
46,25,32275,0,0,40
47,18,226956,0,0,30
48,47,51835,0,1902,60
49,50,251585,0,0,55
50,47,109832,0,0,60
51,43,237993,0,0,40
52,46,216666,0,0,40
53,35,56352,0,0,40
54,41,147372,0,0,48
55,30,188146,5013,0,40
56,30,59496,2407,0,40
57,32,293936,0,0,40
58,48,149640,0,0,40
59,42,116632,0,0,45
60,29,105598,0,0,58
61,36,155537,0,0,40
62,28,183175,0,0,40
63,53,169846,0,0,40
64,49,191681,0,0,50
65,25,200681,0,0,40
66,19,101509,0,0,32
67,31,309974,0,0,40
68,29,162298,0,0,70
69,23,211678,0,0,40
70,79,124744,0,0,20
71,27,213921,0,0,40
72,40,32214,0,0,40
73,67,212759,0,0,2
74,18,309634,0,0,22
75,18,446839,0,0,30
76,52,276515,0,0,40
77,46,51618,0,0,40
78,59,159937,0,0,48
79,44,343591,14344,0,40
80,53,346253,0,0,35
81,49,268234,0,0,40
82,33,202051,0,0,50
83,30,54334,0,0,40
84,43,410867,0,0,50
85,57,249977,0,0,40
86,37,286730,0,0,40
87,28,212563,0,0,25
88,30,117747,0,1573,35
89,34,226296,0,0,40
90,29,115585,0,0,50
91,37,202683,0,0,48
92,48,171095,0,0,40
93,32,249409,0,0,40
94,76,124191,0,0,40
95,44,198282,15024,0,60
96,47,149116,0,0,50
97,20,188300,0,0,40
